大分類,分野,年,国・地域,シェア(%)
A.クラウド/データセンター,テ?ータセンター,2017年,中国,13.4
O.サービス/アプリケーション,固定通信サービス,2019年,フランス,2.4
O.サービス/アプリケーション,固定通信サービス,2018年,フランス,6.6
O.サービス/アプリケーション,固定通信サービス,2017年,フランス,5.1
O.サービス/アプリケーション,移動体通信サービス,2019年,フランス,2.2
O.サービス/アプリケーション,移動体通信サービス,2018年,フランス,2.8
O.サービス/アプリケーション,移動体通信サービス,2017年,フランス,2.3
O.サービス/アプリケーション,動画配信,2019年,フランス,2.2
O.サービス/アプリケーション,動画配信,2018年,フランス,
O.サービス/アプリケーション,動画配信,2017年,フランス,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2019年,フランス,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2018年,フランス,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2017年,フランス,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2019年,フランス,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2018年,フランス,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2017年,フランス,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2019年,フランス,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2018年,フランス,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2017年,フランス,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2019年,フランス,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2018年,フランス,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2017年,フランス,
A.クラウド/データセンター,テ?ータセンター,2019年,フランス,
A.クラウド/データセンター,テ?ータセンター,2018年,フランス,
A.クラウド/データセンター,テ?ータセンター,2017年,フランス,
O.サービス/アプリケーション,固定通信サービス,2019年,オランダ,
O.サービス/アプリケーション,固定通信サービス,2018年,オランダ,
O.サービス/アプリケーション,固定通信サービス,2017年,オランダ,
O.サービス/アプリケーション,移動体通信サービス,2019年,オランダ,
O.サービス/アプリケーション,移動体通信サービス,2018年,オランダ,
O.サービス/アプリケーション,移動体通信サービス,2017年,オランダ,
O.サービス/アプリケーション,動画配信,2019年,オランダ,
O.サービス/アプリケーション,動画配信,2018年,オランダ,
O.サービス/アプリケーション,動画配信,2017年,オランダ,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2019年,オランダ,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2018年,オランダ,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2017年,オランダ,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2019年,オランダ,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2018年,オランダ,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2017年,オランダ,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2019年,オランダ,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2018年,オランダ,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2017年,オランダ,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2019年,オランダ,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2018年,オランダ,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2017年,オランダ,
A.クラウド/データセンター,テ?ータセンター,2019年,オランダ,
A.クラウド/データセンター,テ?ータセンター,2018年,オランダ,
A.クラウド/データセンター,テ?ータセンター,2017年,オランダ,
O.サービス/アプリケーション,固定通信サービス,2019年,スウェーデン,
O.サービス/アプリケーション,固定通信サービス,2018年,スウェーデン,
O.サービス/アプリケーション,固定通信サービス,2017年,スウェーデン,
O.サービス/アプリケーション,移動体通信サービス,2019年,スウェーデン,
O.サービス/アプリケーション,移動体通信サービス,2018年,スウェーデン,
O.サービス/アプリケーション,移動体通信サービス,2017年,スウェーデン,
O.サービス/アプリケーション,動画配信,2019年,スウェーデン,
O.サービス/アプリケーション,動画配信,2018年,スウェーデン,
O.サービス/アプリケーション,動画配信,2017年,スウェーデン,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2019年,スウェーデン,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2018年,スウェーデン,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2017年,スウェーデン,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2019年,スウェーデン,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2018年,スウェーデン,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2017年,スウェーデン,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2019年,スウェーデン,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2018年,スウェーデン,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2017年,スウェーデン,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2019年,スウェーデン,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2018年,スウェーデン,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2017年,スウェーデン,
A.クラウド/データセンター,テ?ータセンター,2019年,スウェーデン,
A.クラウド/データセンター,テ?ータセンター,2018年,スウェーデン,
